text,label
from here let the world be reborn,1
mercadias masks can no longer hide the truth our day has come at last,1
one day every pillar will be a tree and every hall a glade trostani,1
i have been brought to this place and i cannot leave i may be free of the amber but i am still in prison,1
and furthermore,0
hurkyls research at the college of latnam wasnt enough to stop the two brothers but for centuries thereafter her spellcraft taught artificers restraint,0
he spent the final moments of his existence tumbling down the length of the serpents jaws driven mad by the magnitude of the cosmos,1
reynald wished for an army to sweep away his enemies the fae king smiled beyond the great henge,0
the seekers of carmot searched across the unknown lands for the mystical red stone that could reforge esper in ethereal perfection,1
as long as rushwood glows no life is ever truly lost takarnst choarrim healer,1
prayers for rain are answered with the thunder of hooves,1
are you tired you look tired,0
the husk splits like a madmans smile and mystery steps forth snowfur kitsune poet,0
standing near a volcano barbarian expression meaning asking for it,1
by the time the spider comes to slurp up its dinner its victims have been partially dissolved by acidic silk,1
the best construction makes the most satisfying destruction domri rade,0
as narset struggled to meditate tiny dragonlings spiraled around her conjuring thoughts of ancient clans,0
who says werewolves are the only ones who can hunt as a pack kolman elder of gatstaf,1
though mishra was impressed by the staves ashnod had created for zegons defense he understood they only hinted at her full potential,1
reflect upon your evils lest they reflect upon you inquisitor laerin,1
the bolt struck with a flash and there was a terrible sound as of glass shattering but the creature was unharmed,1
we attacked with arrows dipped in poison the slivers that did not die began to change hastric thunian scout,1
a trolls greatest weapon is its ability to emerge unexpectedly from the landscape,1
the path is stable its the gusts all around it that are a bit whooshoopsbye kreq of sunder bay,0
it left behind an echoing emptiness more horrible than the grave,0
soul and bones kithkin are woven into their clans they fight fiercely and without selfinterest,1
for a moment objects of pure mana glimmered in the wonderstruck boggarts hands in the next moment they were in his mouth as he chewed contentedly,1
some of my kin dance for themselves without greater purpose nylea gives me purpose and with it strength,1
with every end a new beginning,1
looks like weve got company,1
watch over my father tell him im safe but i wont come home until i find out how to bring him back to his senses and kamigawa is again at peace michiko konda last letter to general takeno,1
the sooner you see the whites of their eyes the sooner youll spill the red of their blood,1
the eastern paladin doesnt attack at night for the tactical advantage he does it for the sheer joy of fighting beneath the moon,1
before we can destroy our enemies we must find them we must peer into every wretched hovel and every teeming market baral chief of compliance,1
gremlins can change from pest to problem to plague in the span of a moment,1
protection is woven into every vine and branch,1
theres nothing i wouldnt give to achieve victory can you say the same tsabo tavoc to gerrard,1
the kor forsake roots for the winding of the path forsake voices for the silence of the mind forsake all else for the poverty of isolation,1
otarias last defense against the wave of chaos threatening to engulf it,1
everything is in place nothing can happen that isnt part of my plan urza,1
we are bearers of the ancient light keepers of suncrowned heliods blessings fight and the light will protect you,0
the sigil holds different meanings depending on its form and presentation while some wear it as a sign of status others wear it as a sign of debt,1
if the mardu were more in tune with their beasts they would not scare so easily jilaya temur whisperer,0
great wall of china,1
those wound tightest are first to unravel,1
to find jadzi one need only wander,1
with this crown assert your authority crown inscription,1
future past and present become one in the blink of an eye,0
a giant statue of a dwarf is still a giant statue,0
nothing in nature goes to waste not even the rotting corpse of a goodfornothing bloodsucking vampire halana of ulvenwald,0
one whiff of the sweet pungent scent leads to euphoriaor to an early grave,1
big distractions mean tiny nuisances can slip by unnoticed,1
for hydras most problems can be solved with the addition of a few extra heads,1
why limit yourself to mortal law when you can outlive those who enforce it czaric orzhov prelate,0
ive seen my master do this a hundred times how hard can it be,1
merfolk tell their young of dandn humans of rag man dal tell tales of the dauthi and they are far worse,0
atarka conquered qadat the fire rim long ago winning over its efreet with a promise to spread the glory of fire to all the world,1
they ride our trails as if they were designed to said the guard they were replied gerrard,1
flog was out of his leaguethis game wasnt up his alley but the team couldnt spare him if he split,1
xenagos has fallen and the world grows dark without him what can ever fill that darkness but our rage guruthes disciple of xenagos,1
as their villages fell to werewolves fleeing refugees discovered they too had remarkable survival instincts,1
this armor transcends the limitations of mere flesh and bone,0
life is fleeting and so is death only the oath is eternal,1
a wolf without a pack is either a survivor or a brute,0
as the wu chief commander lu meng conquered shuheld jingzhou in  by disguising soldiers as merchants on boats filled with hiding troops,1
i will reach infinity,1
he blends seamlessly into the forest waiting silently for his prey,1
her poppets bring joy to the truly depraved,0
wracked with rot it wrecks and ruins,1
they wont see your shadow or hear your breath but they will feel your blade,1
only nature wreaks such lovely havoc,0
a true shortcut isnt a way other people dont know its a way other people cant go,0
death lizard approaching capn brint doobin last words,0
fire is the universal language jhoira master artificer,1
as i desire so it shall be nicol bolas,0
stop smell the roses eat the peoples,0
rain from this storm leaves you pinned to the ground like an insect,1
froggy fighter at the gate draw your sword and meet your fate traditional childrens rhyme,0
i was made for this,1
its colors entrance aggressors directing their violence,1
all are welcome in the angels light,0
the demon had flown past the reach of ereboss whip but not the point of the sun gods spear,1
they evolved the ability to concentrate their neural activity into a single pulse causing a disruptive but usually suicidal blast of psionic energy,1
the essence of night to harden the soul,1
a thousand phobias sopped from the city and wrung from rix maadi as one,1
ghoulcallers trying to get in geists trying to get out     this duty is never dull,0
by all rights we should have perished in the kami war our perseverence is a tribute to mortal ingenuity and perhaps a few forgotten secrets found in the nick of time,1
he gave the squirrels acorns they gave him vengeance,0
spells of madness often require a sacrifice of sanity,0
markov vampires cultivate an image of such decadent elegance that it can be easy to forget they can field a deadly fighting force,1
the mongoose blew out its candle and was asleep in bed before the room went dark llanowar fable,0
the bonds of bushido will draw the dishonored back someday and i will be there waiting,1
doyo suspected the boggarts of brewing a plot against his crop so he scythed away his grain to clear the sightlines,1
spitting is the customary greeting between a creature and its magical impostor,1
the venom cleanses the sickness from your body but it will not be pleasant and you may not survive pharikas blessings are fickle solon acolyte of pharika,0
they seek to break us let us show them our strength,0
they seek to break us let us show them our strength,0
there were no tombstones in orochi territory slain warriors were buried with a tree sapling so they would become a part of the forest after death,1
designed by an ancient artificer the vials are strong enough to hold the very breath of a dragonuntil its needed,1
wealth is a good thing compared to povertyyour food is better your robes are softer and your companions have bathed more recently kipkemboi kukemssa pirate,1
dreams are just one more form of torment,1
progress leads to inspiration,1
the dawnhart survivors welcome recruits of all shapes and sizes,0
id just let the monkey have it if i were you you can make another but the same cant be said of your fingers turni greenwheel groundskeeper,1
its dangerous indeed to be lost in someone elses thoughts,1
as a child i was afraid of the dark now im afraid of the things i know are lurking in the dark waiting to bite my head off sneeflebrix expedition rogue,1
the weight of death is heavy but not immovable,1
only in dew from oona herself is there clarity enough to see a victims mind,1
i felt unworthy even to dream of it hanna weatherlight navigator,1
the goblin idea of music is to hit something with a stick,1
following the suns cycle harvest season comes once a yearunless the druids bid the sun behave otherwise,1
swirling eddies of ash hide crumbling cliffs treacherous drops and the slavering maws of unknown evils,0
you need a six all right everyone she needs a six,0
sun follows moon until she tires then carries her until shes strong  and runs ahead of him again love song of night and day,1
a capable mage can tune its focus refracting mana through each disk in turn to cast any spell they desire,1
he smiles with poisoned lips empress llawan,1
you should see how small the map is,1
he raged not just against vampires but against civilization itself,1
their buzzing makes my bones hum from a mile away galenti treasure hunter,0
kithkin spellbottlers spend half their time preserving old memories and the other half punishing the new,1
found families deserve a family crest too kinnan bonder prodigy,1
cautious not to repeat vigs mistakes the simic fuse life essences using magic alone each result is called a krasis,0
and the ignorant shall fall to the squirrels chip,0
he takes out his fear of heights on anything above his head,0
he takes out his fear of heights on anything above his head,1
picking locks is for beginners,0
his mind knows no fear registering only the burning impulse to destroy,1
the tiger is always quick to fold,0
some relic hunters have given up exploring and gone to fight the eldrazi but i know our work is more important than ever the secrets we uncover could lead to the worlds salvation,1
do not weep for the frail their time couldnt have been that far off nathrac plaguesower,1
a bullet renders all sizes equal,1
where hope has no champion evil rules all,0
they leave a trail of ash and sorrow,0
it strides through the whitecover mists in which even gargantuans can hide,1
when youre dumber than a hammer every problem looks like one of those things you hit with a hammer,1
some emeritus professors return from their wanderings periodically to share tales of the mystical wonders of arcavios,1
it is terrible how one brief action can live forever in memory jolrael,1
strike those abominations down let their names rot with their remains general kudro,1
assume everything wants to kill you at the very least assume everything wants whats in your pack,1
0 of the other villagers dare venture into the wilds so she feeds the whole hamlet herself,1
a shadow of life chasing a husk of glory,1
a good explorer has to be as slippery as a gomazoa as tough as a scute bug and luckier than a tenfingered trapfinder arhana kazandu trapfinder,1
why do you weep for the dead i rejoice for they have died for me fallen angel to serra,1
a shadow of life chasing a husk of glory,1
i see your future mantled in ash,1
sympathy is for weaklings whoever survives wins benzir archdruid of temple might,1
the imp unaware of its own odor paused to catch its breath    and promptly died,1
many hands for many evils,1
humans still feared wolves though no connection between them and the curse of lycanthropy had ever been proved,1
the noble paladins draw strength from the courage of others,1
their war forgotten the nations of bant stood united in the face of a common threat,1
i might have overfed him gulistan simic biomancer,1
though buried and muffled natures whisper still called to nissa,1
your life serves a higher purpose now ensuring the continuation of my own,1
the agents of sneakserious nonstop espionage and kidnapping,1
it doesnt need to use its venomit just needs you to know it can,1
your father has no horns your mother wears a bell you drink the milk of goats talruum taunts,1
i strive for elegance and speed in my work jaya ballard task mage,1
the beetles feed not on the flesh of corpses but on the metal grinding out the iron and steel to add to their own bulky shells,0
hush,0
they traverse the manastarved wastes in search of richer lands,0
even swamps need sustenance we will give it to them and in turn they will sustain us ezrith druid of the dark hours,1
the refuges defenses allow new recruits to see lesser eldrazi up close steeling their stomachs for whats to come,0
danish island scandinavia,1
its a dragoninfested lavascape of notorious peril make yourselves at home,1
just think of me as the storm before the calm gerrard of the weatherlight,0
unlike many hunters these panthers have no need for camouflage theyre fast enough to catch any prey,1
just as each added feather steadies the wing so does the flock grow stronger with each new member,1
if i am to die in service there is no more worthy fight than this,1
its not really stealing its more like extended borrowing,1
action this creature is a bloodhound formed entirely of water,1
hope kept the defenders aloft but only courage kept them in the fight,1
no one knows when the tournament began all they know is that it will never end,0
well break their lines the rest of you follow,1
titania rewards all who honor the forest by making them a living part of it,1
the best way to keep a secret is to forget it lazav,1
the truth will outshine all lies,0
whenever the llanowar elves gather the fruits of their forest they leave one plant of each type untouched considering that natures portion,1
the warriors deal in poison and fangs we shamans remember why our ancestors crawled with their bellies to the earth,1
the floor of the sea is paved with the shattered remnants of vessels that navigated its surface unwelcomed thassa god of the sea,1
to reach my age you must know when to bend with the winds and when to stand tall,0
the keldons may have explosive tempers but i have explosives,1
peace will come to innistrad but only after all abominations have been dealt with one by one,1
the consulate rarely cracks the coded announcement of a night markets location before dawn and enforcers are taken care of if they wander too close,1
this creature is inadequate send it to the splicers for innovation malcator executor of synthesis,0
the sea has many secrets but some are too big to be kept,1
those who find death under the black suns shadow cannot escape its pull,1
to a sabretooth all men are mice,1
venser admired his handiwork and smiled his first prototype had joined with the hive mind all too well running with the brood and becoming a predator itself this one he thought would be accepted into the hive but still obey his commands,1
when darkness closes in around us my blade will light our path,0
her eyes blaze with the strength of twenty shields every glance is a salvation,0
dance and bring forth the coil it is an umbilical to gaea herself fattening us with the earths rich bounty,0
in the hold of the heart of kiran chandra answered dovin baans sabotage with an explosive retort,1
he makes his home on the tallest mountain in sejiri where the vista is as endless as his patience,0
what separates junk from treasure is imagination hanna weatherlight navigator,1
infinitely powerless,1
may they speed to their task for the skyknights alone cannot hold kjeldor safe arna kennerd skycaptain,0
magestudents drawn to the power of language choose silverquill the college of eloquence,0
and i will prove my devotion,1
of course you should fight fire with fire you should fight everything with fire jaya ballard task mage,1
proximity guarantees injury or death,1
when raganorn unsealed the catacombs he found more than the dead and their treasures,0
many scholars believe that these creatures were the result of urzas first attempt at mechanical life perhaps created in his early days as an apprentice to tocasia,0
emrakul does not grant wishes desires simply align to her will,1
full of beauty and grace with a predators instincts   although she wanders i have always thought mirri belongs in llanowar most of all rofellos llanowar emissary,0
soramaro speaks through me listen and i will tell the wisdom of the ancestors,0
the light of a felidars horns can give even an eldrazi pause zarra lullmage,1
the spread of its hood eclipses all hope,0
once a vision of constancy in the sky the moon had long been hidden from view by the haze that chokes the heavens the very sight of it had become a sign that change was in the air,1
it vents the chill of the grave,1
they arent helping the forges send them to the surface furnace boss sector,0
its not the size of the rock its how badly you want to lift it,1
call one call them all,1
phyrexia strives to simulate natural life but it cant resist improving on the design,0
as elusive as the footprint of a djinn suqata expression,1
what wears down my people most i think is not the danger but the endless screeching outside our camp merrik aidar benalish patrol,0
virtue cant survive without strength ardanna of the angelic council,0
only on the battlefield can we repay all the order has given us,0
just wait till i get my leviathan,1
blades and bravery go hand in hand,0
i will carve my peoples vengeance on the face of phyrexia,1
the ruins of the town were a notable upgrade from the wolves forest den,1
its harvest time,1
a vulshok weapon strikes with the fire of the forge that made it,0
hail from tolaria the ever changing dane,1
the river heralds would wreck a thousand ships to keep intruders from finding the golden city,1
by thorn and by stone we will fight to see the day when beauty returns to this world,1
the second stage of the illness high fever and severe infectiousness phyrexian progress notes,0
the first of the thousand deaths,1
goblins motivational techniques are crude but effective,1
one light one blade one purpose vow of the serra paladins,1
vampires are now masters of their own fates commanders of their own legions,1
its easy to believe youre a god when youre twice as powerful as everyone else,1
